c_id,name,phone ,address,email
1,Newton Harnor,253-419-1771,Tacoma,newton.harnor@gmail.com
2,Tomaso Voisey,330-079-3654,Akron,tomaso.voisey@yahoo.co.uk
3,Margery Glover,785-292-5555,Topeka,margery.glover@hotmail.com
4,Ellswerth Yellowley,785-140-9222,Topeka,ellswerth.yellowley@yahoo.com
5,Brose Sales,918-017-6975,Tulsa,brose.sales@juno.com
6,Alastair Pauluzzi,254-271-7073,Waco,alastair.pauluzzi@yahoo.com
7,Paddy Ruppelin,304-148-2987,Huntington,paddy.ruppelin@hotmail.com
8,Emile Gery,540-304-0896,Roanoke,emile.gery@yahoo.com
9,Anabel Ferres,806-427-3201,Amarillo,anabel.ferres@yahoo.com
10,Euphemia Money,615-980-1867,Nashville,euphemia.money@hotmail.fr
11,Meier Wyre,305-425-9373,Miami,meier.wyre@yahoo.com
12,Jerrine Tyne,208-160-2863,Pocatello,jerrine.tyne@hotmail.com
13,Ivett Gethings,562-361-0834,Long Beach,ivett.gethings@msn.com
14,Alikee Halsted,212-294-4123,New York City,alikee.halsted@yahoo.com
15,Magda Ferne,775-647-6988,Reno,magda.ferne@shaw.ca
16,Agnella Pinnere,419-730-0138,Toledo,agnella.pinnere@hotmail.com
17,Chris Steels,406-871-0772,Helena,chris.steels@yahoo.com
18,Sharona Foulcher,850-230-3349,Pensacola,sharona.foulcher@gmail.com
19,Bunny Hans,304-416-5444,Charleston,bunny.hans@web.de
20,Linette Bonallick,312-095-6102,Chicago,linette.bonallick@free.fr
